trips,business_day,year,month,weekday
1155,1,2016,7,2
1247,1,2016,7,3
1196,1,2016,7,4
1023,1,2016,7,5
270,-1,2016,7,6
242,-1,2016,7,7
1200,1,2016,7,1
1213,1,2016,7,2
1219,1,2016,7,3
1166,1,2016,7,4
1102,1,2016,7,5
356,-1,2016,7,6
311,-1,2016,7,7
1165,1,2016,8,1
1241,1,2016,8,2
1231,1,2016,8,3
1140,1,2016,8,4
967,1,2016,8,5
300,-1,2016,8,6
275,-1,2016,8,7
1268,1,2016,8,1
1233,1,2016,8,2
1162,1,2016,8,3
1166,1,2016,8,4
1032,1,2016,8,5
670,-1,2016,8,6
736,-1,2016,8,7
1204,1,2016,8,1
1270,1,2016,8,2
1253,1,2016,8,3
1264,1,2016,8,4
1074,1,2016,8,5
313,-1,2016,8,6
291,-1,2016,8,7
1176,1,2016,8,1
1241,1,2016,8,2
1242,1,2016,8,3
1184,1,2016,8,4
1096,1,2016,8,5
291,-1,2016,8,6
285,-1,2016,8,7
1196,1,2016,8,1
1213,1,2016,8,2
1176,1,2016,8,3
