trips,date
1299,2015-04-20
1371,2015-04-21
1376,2015-04-22
1368,2015-04-23
1171,2015-04-24
405,2015-04-25
291,2015-04-26
1233,2015-04-27
1375,2015-04-28
1314,2015-04-29
1295,2015-04-30
1282,2015-05-01
351,2015-05-02
346,2015-05-03
1296,2015-05-04
1369,2015-05-05
1374,2015-05-06
1360,2015-05-07
1246,2015-05-08
368,2015-05-09
267,2015-05-10
1297,2015-05-11
1305,2015-05-12
1336,2015-05-13
1343,2015-05-14
1168,2015-05-15
394,2015-05-16
328,2015-05-17
1279,2015-05-18
1381,2015-05-19
1246,2015-05-20
1355,2015-05-21
1129,2015-05-22
392,2015-05-23
333,2015-05-24
324,2015-05-25
1219,2015-05-26
1260,2015-05-27
1288,2015-05-28
1203,2015-05-29
435,2015-05-30
266,2015-05-31
1224,2015-06-01
1390,2015-06-02
1348,2015-06-03
1414,2015-06-04
1270,2015-06-05
339,2015-06-06
385,2015-06-07
1270,2015-06-08
1383,2015-06-09
956,2015-06-10
1437,2015-06-11
1276,2015-06-12
430,2015-06-13
269,2015-06-14
1327,2015-06-15
1409,2015-06-16
1353,2015-06-17
1352,2015-06-18
1243,2015-06-19
411,2015-06-20
298,2015-06-21
1295,2015-06-22
1392,2015-06-23
1335,2015-06-24
1391,2015-06-25
1319,2015-06-26
466,2015-06-27
407,2015-06-28
1237,2015-06-29
1281,2015-06-30
1205,2015-07-01
1019,2015-07-02
439,2015-07-03
449,2015-07-04
288,2015-07-05
1242,2015-07-06
1359,2015-07-07
1405,2015-07-08
1257,2015-07-09
1244,2015-07-10
495,2015-07-11
379,2015-07-12
1345,2015-07-13
1358,2015-07-14
1384,2015-07-15
1382,2015-07-16
1249,2015-07-17
368,2015-07-18
402,2015-07-19
1386,2015-07-20
1349,2015-07-21
1307,2015-07-22
1320,2015-07-23
1254,2015-07-24
364,2015-07-25
432,2015-07-26
1363,2015-07-27
1451,2015-07-28
1411,2015-07-29
1330,2015-07-30
1240,2015-07-31
425,2015-08-01
320,2015-08-02
1283,2015-08-03
1360,2015-08-04
1341,2015-08-05
1299,2015-08-06
1197,2015-08-07
432,2015-08-08
361,2015-08-09
1284,2015-08-10
1397,2015-08-11
1400,2015-08-12
1401,2015-08-13
1182,2015-08-14
451,2015-08-15
393,2015-08-16
1418,2015-08-17
1407,2015-08-18
1353,2015-08-19
1353,2015-08-20
1215,2015-08-21
421,2015-08-22
311,2015-08-23
1309,2015-08-24
1421,2015-08-25
1465,2015-08-26
1443,2015-08-27
1220,2015-08-28
342,2015-08-29
331,2015-08-30
1369,2015-08-31
