trips,date
764,2016/3/4
68,2016/3/5
163,2016/3/6
987,2016/3/7
1122,2016/3/8
955,2016/3/9
691,2016/3/10
520,2016/3/11
176,2016/3/12
50,2016/3/13
1119,2016/3/14
1206,2016/3/15
1189,2016/3/16
1114,2016/3/17
1011,2016/3/18
308,2016/3/19
185,2016/3/20
912,2016/3/21
1144,2016/3/22
1215,2016/3/23
1210,2016/3/24
952,2016/3/25
365,2016/3/26
222,2016/3/27
1094,2016/3/28
1161,2016/3/29
1134,2016/3/30
1099,2016/3/31
967,2016/4/1
299,2016/4/2
259,2016/4/3
1175,2016/4/4
1220,2016/4/5
1200,2016/4/6
1231,2016/4/7
986,2016/4/8
111,2016/4/9
197,2016/4/10
1146,2016/4/11
1181,2016/4/12
1162,2016/4/13
1106,2016/4/14
1070,2016/4/15
363,2016/4/16
252,2016/4/17
1179,2016/4/18
1325,2016/4/19
1325,2016/4/20
1183,2016/4/21
941,2016/4/22
294,2016/4/23
281,2016/4/24
1167,2016/4/25
1249,2016/4/26
1162,2016/4/27
1221,2016/4/28
1090,2016/4/29
270,2016/4/30
243,2016/5/1
1197,2016/5/2
1242,2016/5/3
1239,2016/5/4
1219,2016/5/5
925,2016/5/6
183,2016/5/7
225,2016/5/8
1212,2016/5/9
1307,2016/5/10
1273,2016/5/11
1497,2016/5/12
1167,2016/5/13
393,2016/5/14
318,2016/5/15
1209,2016/5/16
1350,2016/5/17
1222,2016/5/18
1235,2016/5/19
1103,2016/5/20
309,2016/5/21
295,2016/5/22
1126,2016/5/23
1226,2016/5/24
1240,2016/5/25
1201,2016/5/26
988,2016/5/27
380,2016/5/28
300,2016/5/29
266,2016/5/30
1232,2016/5/31
1171,2016/6/1
1262,2016/6/2
1145,2016/6/3
353,2016/6/4
258,2016/6/5
1330,2016/6/6
1283,2016/6/7
1255,2016/6/8
1264,2016/6/9
1139,2016/6/10
321,2016/6/11
323,2016/6/12
1313,2016/6/13
1295,2016/6/14
1249,2016/6/15
1271,2016/6/16
1111,2016/6/17
337,2016/6/18
282,2016/6/19
1268,2016/6/20
1333,2016/6/21
1245,2016/6/22
1253,2016/6/23
1124,2016/6/24
375,2016/6/25
288,2016/6/26
1282,2016/6/27
1288,2016/6/28
1185,2016/6/29
1180,2016/6/30
968,2016/7/1
303,2016/7/2
222,2016/7/3
316,2016/7/4
952,2016/7/5
1091,2016/7/6
1122,2016/7/7
995,2016/7/8
342,2016/7/9
331,2016/7/10
1168,2016/7/11
1188,2016/7/12
1210,2016/7/13
1212,2016/7/14
1046,2016/7/15
271,2016/7/16
196,2016/7/17
1151,2016/7/18
1155,2016/7/19
1247,2016/7/20
1196,2016/7/21
1023,2016/7/22
